fileName,SimplePrecondition,ParameterConditionedPrecondition,Precondition,ExampleSetPrecondition,TableLearnerPrecondition,LearnerPrecondition,AttributeParameterPrecondition,AttributeSetPrecondition,CapabilityPrecondition,CollectionPrecondition,DistanceMeasurePrecondition,ExampleSetSizePrecondition,TableCapabilityPrecondition
AttributeCopy.java,0,0,0,0,0,0,0,1,0,0,0,0,0
AttributeMerge.java,0,0,0,0,0,0,0,1,0,0,0,0,0
ChangeAttributeName.java,0,0,0,0,0,0,0,2,0,0,0,0,0
ChangeAttributeRole.java,0,0,0,0,0,0,0,2,0,0,0,0,0
Date2Nominal.java,0,0,0,0,0,0,1,1,0,0,0,0,0
Date2Numerical.java,0,0,0,0,0,0,1,1,0,0,0,0,0
DateAdjust.java,0,0,0,0,0,0,0,1,0,0,0,0,0
ExampleRangeFilter.java,0,0,0,0,0,0,0,0,0,0,0,1,0
ExampleSetToDictionary.java,0,0,0,1,0,0,0,0,0,0,0,0,0
ExchangeAttributeRoles.java,0,0,0,0,0,0,0,1,0,0,0,0,0
FillDataGaps.java,0,0,0,1,0,0,0,0,0,0,0,0,0
MergeNominalValues.java,0,0,0,0,0,0,0,1,0,0,0,0,0
Nominal2Date.java,0,0,0,0,0,0,0,1,0,0,0,0,0
Numerical2Date.java,0,0,0,0,0,0,0,1,0,0,0,0,0
SetData.java,0,0,0,0,0,0,0,1,0,0,0,0,0
Sorting.java,0,0,0,0,0,0,0,1,0,0,0,0,0
ExampleSetCartesian.java,0,0,0,2,0,0,0,0,0,0,0,0,0
ExampleSetIntersect.java,0,0,0,2,0,0,0,0,0,0,0,0,0
ExampleSetJoin.java,0,4,0,0,0,0,0,0,0,0,0,0,0
ExampleSetMinus.java,0,0,0,2,0,0,0,0,0,0,0,0,0
ExampleSetUnion.java,0,0,0,2,0,0,0,0,0,0,0,0,0
SamplingOperator.java,0,1,0,0,0,0,0,0,0,0,0,0,0
Attribute2ExamplePivoting.java,0,0,0,1,0,0,0,0,0,0,0,0,0
Example2AttributePivoting.java,0,0,0,0,0,0,0,1,0,0,0,0,0
GroupedANOVAOperator.java,0,0,0,0,0,0,0,2,0,0,0,0,0
EqualLabelWeighting.java,0,0,0,1,0,0,0,0,0,0,0,0,0
AttributeOrderingOperator.java,1,0,0,0,0,0,0,0,0,0,0,0,0
DataToAnnotations.java,0,0,0,0,0,0,0,2,0,0,0,0,0
CentroidBasedEvaluator.java,1,0,0,0,0,0,0,0,0,0,0,0,0
ClusterDensityEvaluator.java,0,0,0,1,0,0,0,0,0,0,0,0,0
ClusterNumberEvaluator.java,1,0,0,0,0,0,0,0,0,0,0,0,0
ANOVAMatrixOperator.java,0,0,0,1,0,0,0,0,0,0,0,0,0
CovarianceMatrixOperator.java,0,0,0,1,0,0,0,0,0,0,0,0,0
RainflowMatrixOperator.java,0,0,0,0,0,0,0,1,0,0,0,0,0
TransitionGraphOperator.java,0,0,0,1,0,0,0,1,0,0,0,0,0
TransitionMatrixOperator.java,0,0,0,0,0,0,0,1,0,0,0,0,0
